NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
MAP3K3	1	MAP3K3	
SORT1	1	SORT1	
GAD1	1	GAD1	
COX6C	1	COX6C	
APTX	1	APTX	
KAZALD1	1	KAZALD1	
PEX14	1	PEX14	
PDCL2	1	PDCL2	
KLHL7	1	KLHL7	
SEMG1	1	SEMG1	
HDGF	1	HDGF	
RAD1	1	RAD1	
IL18R1	1	IL18R1	
KLB	1	KLB	
PRDM4	1	PRDM4	
TACO1	1	TACO1	
PLAT	1	PLAT	
PRDM1	1	PRDM1	
NCMAP	1	NCMAP	
ETS2	1	ETS2	
IGF1R	1	IGF1R	
TGM1	1	TGM1	
DMBT1	1	DMBT1	
PLAU	1	PLAU	
ENPP2	1	ENPP2	
FAM3B	1	FAM3B	
IGFLR1	1	IGFLR1	
FAM3D	1	FAM3D	
ENPP6	1	ENPP6	
ENPP5	1	ENPP5	
TGM4	1	TGM4	
TGM3	1	TGM3	
ENPP7	1	ENPP7	
RAG1	1	RAG1	
TGM2	1	TGM2	
SPINK4	1	SPINK4	
TMOD1	1	TMOD1	
SPINK2	1	SPINK2	
SPINK1	1	SPINK1	
SPINK8	1	SPINK8	
MMGT1	1	MMGT1	
SPINK7	1	SPINK7	
SPINK6	1	SPINK6	
TMOD3	1	TMOD3	
SPINK5	1	SPINK5	
TMOD2	1	TMOD2	
ADAM11	1	ADAM11	
DNAJB12	1	DNAJB12	
ACOT13	1	ACOT13	
ADAM10	1	ADAM10	
DNAJB14	1	DNAJB14	
CARTPT	1	CARTPT	
CCNB1IP1	1	CCNB1IP1	
ADAM19	1	ADAM19	
ADAM17	1	ADAM17	
ADAM15	1	ADAM15	
LYG1	1	LYG1	
CARD19	1	C9orf89	
ADAM12	1	ADAM12	
DNAJB11	1	DNAJB11	
CARD18	1	CARD18	
LYG2	1	LYG2	
SPINK9	1	SPINK9	
RAF1	1	RAF1	
NNMT	1	NNMT	
TSG101	1	TSG101	
NDUFB11	1	NDUFB11	
SLC41A2	1	SLC41A2	
HTRA1	1	HTRA1	
PLD5	1	PLD5	
DAPP1	1	DAPP1	
HTRA2	1	HTRA2	
GLYAT	1	GLYAT	
PLD3	1	PLD3	
TIMM50	1	TIMM50	
CNN2	1	CNN2	
CNN1	1	CNN1	
GRK2	1	ADRBK1	
RNASEH1	1	RNASEH1	
FGF20	1	FGF20	
CYTL1	1	CYTL1	
IL36RN	1	IL1F5	
FGF23	1	FGF23	
FGF22	1	FGF22	
CNTN5	1	CNTN5	
CHCHD10	1	CHCHD10	
USB1	1	USB1	
IGF2R	1	IGF2R	
FGF17	1	FGF17	
FGF16	1	FGF16	
FGF19	1	FGF19	
FGF18	1	FGF18	
CNTN1	1	CNTN1	
CNTN2	1	CNTN2	
SPINK13	1	SPINK13	
UBA2	1	UBA2	
CNTN4	1	CNTN4	
FGF12	1	FGF12	
SPINK14	1	SPINK14	
FGF10	1	FGF10	
TNFAIP8	1	TNFAIP8	
PODXL2	1	PODXL2	
TNFAIP6	1	TNFAIP6	
PLEK	1	PLEK	
TNFAIP3	1	TNFAIP3	
MYSM1	1	MYSM1	
LTB4R	1	LTB4R	
LMNB1	1	LMNB1	
CA1	1	CA1	
EEF2K	1	EEF2K	
CA3	1	CA3	
CA2	1	CA2	
CA4	1	CA4	
CA7	1	CA7	
CA6	1	CA6	
CA9	1	CA9	
CA8	1	CA8	
CYTIP	1	CYTIP	
SUN3	1	SUN3	
TBP	1	TBP	
SYNGR3	1	SYNGR3	
ETV5	1	ETV5	
SUN5	1	SUN5	
EEF1D	1	EEF1D	
ELF5	1	ELF5	
CAT	1	CAT	
SPATA31D4	1	SPATA31D4	
SHANK3	1	SHANK3	
SHANK1	1	SHANK1	
RALA	1	RALA	
RALB	1	RALB	
SLC3A1	1	SLC3A1	
SLC3A2	1	SLC3A2	
CBL	1	CBL	
NT5C2	1	NT5C2	
CYTH2	1	CYTH2	
IL1RL1	1	IL1RL1	
POLD4	1	POLD4	
IL1RL2	1	IL1RL2	
CAND1	1	CAND1	
CYTH4	1	CYTH4	
CBS	1	CBS	
SV2A	1	SV2A	
TBX22	1	TBX22	
FAM241B	1	C10orf35	
SLIT1	1	SLIT1	
PTK2B	1	PTK2B	
SLIT3	1	SLIT3	
ZPLD1	1	ZPLD1	
SLIT2	1	SLIT2	
TRDMT1	1	TRDMT1	
TIMM8A	1	TIMM8A	
RRM1	1	RRM1	
RRM2	1	RRM2	
BNIP3	1	BNIP3	
CCK	1	CCK	
HS3ST5	1	HS3ST5	
SUOX	1	SUOX	
HS3ST4	1	HS3ST4	
CFC1	1	CFC1	
HS3ST1	1	HS3ST1	
WARS1	1	WARS	
TTC17	1	TTC17	
CD2	1	CD2	
CCS	1	CCS	
CD4	1	CD4	
GALE	1	GALE	
TEC	1	TEC	
CD5	1	CD5	
ERCC4	1	ERCC4	
ERCC1	1	ERCC1	
POLE2	1	POLE2	
CD7	1	CD7	
POLE3	1	POLE3	
CD9	1	CD9	
PTX3	1	PTX3	
GPD1L	1	GPD1L	
TEK	1	TEK	
GALP	1	GALP	
VPS29	1	VPS29	
CNTF	1	CNTF	
PRSS1	1	PRSS1	
TES	1	TES	
CLEC10A	1	CLEC10A	
SMC3	1	SMC3	
ELK1	1	ELK1	
ELK3	1	ELK3	
GJA1	1	GJA1	
ALCAM	1	ALCAM	
EVA1B	1	EVA1B	
EVA1C	1	EVA1C	
NAMPT	1	NAMPT	
GJA8	1	GJA8	
PRSS8	1	PRSS8	
PRSS3	1	PRSS3	
PRSS2	1	PRSS2	
PRKCG	1	PRKCG	
PRKCI	1	PRKCI	
PRKCB	1	PRKCB	
CLEC11A	1	CLEC11A	
PRKCA	1	PRKCA	
CEL	1	CEL	
BCAN	1	BCAN	
BCAM	1	BCAM	
MTAP	1	MTAP	
ARMC5	1	ARMC5	
HECW1	1	HECW1	
HMBS	1	HMBS	
PRKCQ	1	PRKCQ	
NUP98	1	NUP98	
VPS25	1	VPS25	
CFB	1	CFB	
FREM2	1	FREM2	
VPS28	1	VPS28	
CFD	1	CFD	
CFH	1	CFH	
CFI	1	CFI	
BCL10	1	BCL10	
CFP	1	CFP	
SDSL	1	SDSL	
ARPP19	1	ARPP19	
PRKCZ	1	PRKCZ	
FAM171A1	1	FAM171A1	
FAM171A2	1	FAM171A2	
ST3GAL5	1	ST3GAL5	
ST3GAL6	1	ST3GAL6	
CGA	1	CGA	
ST3GAL1	1	ST3GAL1	
ST3GAL2	1	ST3GAL2	
C3orf18	1	C3orf18	
LRRC37A2	1	LRRC37A2	
ARPP21	1	ARPP21	
HOMER1	1	HOMER1	
HOMER2	1	HOMER2	
PLK1	1	PLK1	
ELL2	1	ELL2	
ARL2BP	1	ARL2BP	
FANK1	1	FANK1	
BTG2	1	BTG2	
CDKN1A	1	CDKN1A	
SETD2	1	SETD2	
CDKN1B	1	CDKN1B	
MOCS3	1	MOCS3	
ASH2L	1	ASH2L	
ASGR1	1	ASGR1	
ASGR2	1	ASGR2	
ADAMTSL1	1	ADAMTSL1	
MCEE	1	MCEE	
ADAMTSL2	1	ADAMTSL2	
TK2	1	TK2	
TK1	1	TK1	
TPI1	1	TPI1	
AHSG	1	AHSG	
ASH1L	1	ASH1L	
CDYL2	1	CDYL2	
GJD2	1	GJD2	
ANGPTL7	1	ANGPTL7	
ANGPTL3	1	ANGPTL3	
GAS1	1	GAS1	
PLIN3	1	PLIN3	
ANGPTL4	1	ANGPTL4	
MYZAP	1	MYZAP	
GAS6	1	GAS6	
TKT	1	TKT	
ANGPTL1	1	ANGPTL1	
GAS7	1	GAS7	
C1orf198	1	C1orf198	
USO1	1	USO1	
PAPSS1	1	PAPSS1	
PPP1R2	1	PPP1R2	
OLFML3	1	OLFML3	
OLFML1	1	OLFML1	
PPP1R8	1	PPP1R8	
AHSP	1	AHSP	
CKB	1	CKB	
APOL1	1	APOL1	
APOL3	1	APOL3	
PAIP1	1	PAIP1	
CDKN2D	1	CDKN2D	
BCHE	1	BCHE	
CDKN2B	1	CDKN2B	
CDKN2C	1	CDKN2C	
IL10RB	1	IL10RB	
TPK1	1	TPK1	
IL10RA	1	IL10RA	
G0S2	1	G0S2	
HIPK3	1	HIPK3	
GATM	1	GATM	
OSTM1	1	OSTM1	
IGLL1	1	IGLL1	
PCYOX1L	1	PCYOX1L	
COQ8B	1	ADCK4	
CLC	1	CLC	
N6AMT1	1	N6AMT1	
MRE11	1	MRE11A	
POGLUT1	1	POGLUT1	
TPMT	1	TPMT	
TNC	1	TNC	
PARK7	1	PARK7	
FGF1	1	FGF1	
CLU	1	CLU	
FGF2	1	FGF2	
TNF	1	TNF	
FGF3	1	FGF3	
FGF4	1	FGF4	
THG1L	1	THG1L	
EDC4	1	EDC4	
FGF5	1	FGF5	
FGF6	1	FGF6	
PPP1CC	1	PPP1CC	
FGF7	1	FGF7	
FGF8	1	FGF8	
FGF9	1	FGF9	
CFL2	1	CFL2	
CFL1	1	CFL1	
TNR	1	TNR	
SLC26A11	1	SLC26A11	
LARGE1	1	LARGE	
POGLUT3	1	KDELC2	
GTF2I	1	GTF2I	
IL13RA1	1	IL13RA1	
PLS1	1	PLS1	
MAP2K3	1	MAP2K3	
MAP2K4	1	MAP2K4	
USP8	1	USP8	
MAP2K1	1	MAP2K1	
MAP2K2	1	MAP2K2	
TPM4	1	TPM4	
C1orf185	1	C1orf185	
SWAP70	1	SWAP70	
TPM2	1	TPM2	
CSGALNACT2	1	CSGALNACT2	
TPM1	1	TPM1	
THOC1	1	THOC1	
KERA	1	KERA	
LEMD1	1	LEMD1	
EDAR	1	EDAR	
TOM1L1	1	TOM1L1	
MORF4L1	1	MORF4L1	
TOM1L2	1	TOM1L2	
FKBP7	1	FKBP7	
FKBP4	1	FKBP4	
FKBP3	1	FKBP3	
FKBP6	1	FKBP6	
IFNAR1	1	IFNAR1	
RTN4R	1	RTN4R	
FKBP2	1	FKBP2	
CNP	1	CNP	
INSIG1	1	INSIG1	
GLT8D1	1	GLT8D1	
KNG1	1	KNG1	
TPO	1	TPO	
ORC6	1	ORC6L	
BTLA	1	BTLA	
CD300LB	1	CD300LB	
CD300LF	1	CD300LF	
PLTP	1	PLTP	
MAP2K6	1	MAP2K6	
MCL1	1	MCL1	
OSBPL9	1	OSBPL9	
COA3	1	COA3	
FANCL	1	FANCL	
C1orf162	1	C1orf162	
PXDNL	1	PXDNL	
FANCF	1	FANCF	
BCL6	1	BCL6	
COPS2	1	COPS2	
CPD	1	CPD	
BCL2	1	BCL2	
CPE	1	CPE	
TPP1	1	TPP1	
ZNF774	1	ZNF774	
BCL2L2	1	BCL2L2	
LAT	1	LAT	
BCL2L1	1	BCL2L1	
CPM	1	CPM	
BMPR2	1	BMPR2	
GAL3ST1	1	GAL3ST1	
CPQ	1	CPQ	
TRH	1	TRH	
CPZ	1	CPZ	
SYNE2	1	SYNE2	
LBP	1	LBP	
SERAC1	1	SERAC1	
GAL3ST2	1	GAL3ST2	
OIT3	1	OIT3	
CSTL1	1	CSTL1	
PRKG1	1	PRKG1	
CR2	1	CR2	
CR1	1	CR1	
PLA2G12B	1	PLA2G12B	
GGPS1	1	GGPS1	
LANCL1	1	LANCL1	
APOA2	1	APOA2	
APOA1	1	APOA1	
APOA4	1	APOA4	
EDF1	1	EDF1	
ZNF75D	1	ZNF75D	
C1QL4	1	C1QL4	
APOA5	1	APOA5	
C1QL2	1	C1QL2	
TIRAP	1	TIRAP	
TSN	1	TSN	
C1QL1	1	C1QL1	
TST	1	TST	
LCK	1	LCK	
DNAJC4	1	DNAJC4	
CRH	1	CRH	
LANCL2	1	LANCL2	
XCL2	1	XCL2	
XCL1	1	XCL1	
MCM6	1	MCM6	
LCORL	1	LCORL	
LCT	1	LCT	
CRK	1	CRK	
CRP	1	CRP	
CEBPA	1	CEBPA	
CEBPB	1	CEBPB	
HDAC2	1	HDAC2	
FGL1	1	FGL1	
VPS4B	1	VPS4B	
CEBPG	1	CEBPG	
FGL2	1	FGL2	
VPS4A	1	VPS4A	
HDAC8	1	HDAC8	
TTL	1	TTL	
COCH	1	COCH	
TTN	1	TTN	
DNAJB2	1	DNAJB2	
DNAJB1	1	DNAJB1	
ABLIM3	1	ABLIM3	
DNAJB6	1	DNAJB6	
DNAJB4	1	DNAJB4	
IL21R	1	IL21R	
DNAJB9	1	DNAJB9	
CSK	1	CSK	
DRGX	1	DRGX	
NLGN4X	1	NLGN4X	
APOC3	1	APOC3	
MFAP5	1	MFAP5	
MFAP4	1	MFAP4	
MFAP1	1	MFAP1	
DNAJA4	1	DNAJA4	
APOC2	1	APOC2	
LEP	1	LEP	
APOC1	1	APOC1	
DNAJA2	1	DNAJA2	
MFAP2	1	MFAP2	
DRG1	1	DRG1	
TPT1	1	TPT1	
C1orf115	1	C1orf115	
UMODL1	1	UMODL1	
IL1RN	1	IL1RN	
IL23R	1	IL23R	
PITPNB	1	PITPNB	
PITPNA	1	PITPNA	
C6orf89	1	C6orf89	
AQP4	1	AQP4	
HS6ST1	1	HS6ST1	
HS6ST2	1	HS6ST2	
IFIT3	1	IFIT3	
HS6ST3	1	HS6ST3	
IFIT2	1	IFIT2	
NFU1	1	NFU1	
NIPAL4	1	NIPAL4	
TIAL1	1	TIAL1	
RPS6KA3	1	RPS6KA3	
RPS6KA6	1	RPS6KA6	
RPS19	1	RPS19	
RPS6KA1	1	RPS6KA1	
DAG1	1	DAG1	
ARFIP2	1	ARFIP2	
ARFIP1	1	ARFIP1	
ZNF843	1	ZNF843	
RPS10	1	RPS10	
BRICD5	1	BRICD5	
PDK2	1	PDK2	
PDK1	1	PDK1	
PDHX	1	PDHX	
COG8	1	COG8	
IL1R1	1	IL1R1	
IL1R2	1	IL1R2	
ARRDC3	1	ARRDC3	
CPT1B	1	CPT1B	
TIAM1	1	TIAM1	
TWSG1	1	TWSG1	
CFTR	1	CFTR	
TMEM185A	1	TMEM185A	
LHB	1	LHB	
GSKIP	1	GSKIP	
TXN	1	TXN	
APCDD1	1	APCDD1	
CD79B	1	CD79B	
FXR1	1	FXR1	
CD79A	1	CD79A	
MLEC	1	MLEC	
STXBP6	1	STXBP6	
SH2D1A	1	SH2D1A	
LIF	1	LIF	
SH2D1B	1	SH2D1B	
PARVA	1	PARVA	
SMTN	1	SMTN	
VNN2	1	VNN2	
DCP1A	1	DCP1A	
DCP1B	1	DCP1B	
TENM2	1	TENM2	
TENM3	1	TENM3	
TENM4	1	TENM4	
MEOX2	1	MEOX2	
C1QBP	1	C1QBP	
SEC61G	1	SEC61G	
TMED2	1	TMED2	
SEC61B	1	SEC61B	
UBXN4	1	UBXN4	
ERMAP	1	ERMAP	
TMED4	1	TMED4	
EDN1	1	EDN1	
EDN2	1	EDN2	
EDN3	1	EDN3	
PARP1	1	PARP1	
GP1BA	1	GP1BA	
SLC35G2	1	SLC35G2	
PDCD1LG2	1	PDCD1LG2	
TYK2	1	TYK2	
MLF1	1	MLF1	
ZDHHC14	1	ZDHHC14	
VWA1	1	VWA1	
VWA2	1	VWA2	
AIDA	1	AIDA	
MATN4	1	MATN4	
MATN3	1	MATN3	
MATN2	1	MATN2	
DTYMK	1	DTYMK	
AMIGO1	1	AMIGO1	
AMIGO2	1	AMIGO2	
TYMS	1	TYMS	
AIF1	1	AIF1	
TYMP	1	TYMP	
PURB	1	PURB	
TCEAL8	1	TCEAL8	
PURA	1	PURA	
EGFLAM	1	EGFLAM	
TCEAL3	1	TCEAL3	
WIF1	1	WIF1	
EMC1	1	EMC1	
EMC4	1	EMC4	
LAIR2	1	LAIR2	
SUSD3	1	SUSD3	
EMC8	1	EMC8	
LAIR1	1	LAIR1	
MTX2	1	MTX2	
SUSD1	1	SUSD1	
C6orf58	1	LEG1	
SVIP	1	SVIP	
CD40LG	1	CD40LG	
GSTA4	1	GSTA4	
GSTA3	1	GSTA3	
QPCT	1	QPCT	
GSTA1	1	GSTA1	
VWC2	1	VWC2	
ZWILCH	1	ZWILCH	
CCL4L2	1	CCL4L1	
