proteinId,pValue,fdr,log10fdr,meanGroup1,meanGroup2,logFoldChange
KYNU,0.002684734,0.035688144,1.447476039,4493.828571,3813.972222,0.164033803
LILRA4,0.001558312,0.026783871,1.572126655,2314.457143,2939.888889,-0.239196623
LRRC15,0.000108504,0.005975431,2.223630762,942.5714286,1647.083333,-0.558149623
LRRC4C,0.001028824,0.021355831,1.670483515,754.2,895,-0.171166133
LRRN1,0.004330395,0.043765809,1.358865042,1171.714286,1593.944444,-0.307743849
LRRTM1,0.002855245,0.036198956,1.441303956,795.0285714,884.8888889,-0.107084035
LSAMP,0.0001768,0.008194779,2.086462754,931.2857143,1184.277778,-0.240322278
LST1,0.002025619,0.031301668,1.504432517,7098.571429,5267.972222,0.298248046
LTALTB,0.004070521,0.043422812,1.362282056,1764.471429,2157.847222,-0.201259897
LUM,0.00303728,0.03759646,1.424853051,4869.542857,6134.944444,-0.231000959
MAFG,0.003692224,0.041687779,1.379991239,2481.885714,2030.944444,0.200517711
MAP2K4,0.00024429,0.009594766,2.017965614,11833.31429,19954.83333,-0.522552588
MAPK9,0.005525001,0.048882251,1.310848805,19639.48571,14717.05556,0.288535054
MATN4,0.004227418,0.043558603,1.360926053,1131.142857,1330.944444,-0.162660299
MDGA2,0.004206507,0.043558603,1.360926053,1997.342857,2823.444444,-0.346139848
MLN,4.13E-06,0.001237019,2.907623541,7201.457143,4200.638889,0.539046756
MLYCD,0.000502067,0.014043138,1.852535841,2236.685714,1645.611111,0.306883367
MMP12,0.002179518,0.032568826,1.487197903,1076.057143,1724.944444,-0.471891277
MPZL2,0.005182916,0.047809415,1.320486569,1544.228571,1824.611111,-0.166842395
MRC2,0.000303546,0.010238907,1.989746421,2782.771429,3948.166667,-0.349803988
MSMP,2.20E-05,0.002532017,2.596533438,1027.257143,1814.916667,-0.569147271
MX1,0.002792793,0.036058794,1.442988805,33911.37143,17102.77778,0.684509505
MXRA8,8.48E-05,0.005319928,2.274094259,350,472.5833333,-0.300280944
MYL3,0.00064411,0.015946009,1.797347993,2439.342857,1233.472222,0.681895545
NADK,0.00030266,0.010238907,1.989746421,1450.028571,834.9722222,0.551940082
NAGPA,0.003104624,0.037787583,1.422650884,8689.742857,11429.77778,-0.274078687
NCAM1,0.000402149,0.01200367,1.920685935,9887.914286,12533.86111,-0.237120639
NEFL,0.002253121,0.032776303,1.484440028,1806.428571,1363.861111,0.281032002
NEGR1,0.004548836,0.044963106,1.347143692,1498.871429,1764.013889,-0.162879387
NEO1,0.003688823,0.041687779,1.379991239,3263.742857,4232.611111,-0.259944434
NFE2L1,0.005423017,0.048518643,1.314091351,1413.457143,1142.333333,0.212965624
NID1,0.004268873,0.043634299,1.360172002,3594.2,2863.805556,0.227170081
NMI,0.000706147,0.016863027,1.773064467,95401.45714,70874.13889,0.29718824
NNMT,3.13E-05,0.002532017,2.596533438,5107.857143,1691.361111,1.105246374
NOTCH1,0.004571555,0.045022751,1.346567968,16844.11429,19602.69444,-0.151665733
NOTCH3,0.003801268,0.042212484,1.374559095,35489.97143,45488.47222,-0.248208775
NRCAM,0.001357654,0.024754042,1.606353881,520.9714286,1120.194444,-0.76556236
NTM,0.003199331,0.038200529,1.417930619,7532.571429,10006.44444,-0.283992855
NTRK2,0.002116544,0.03208677,1.493673993,5859.371429,8122.916667,-0.326646952
